,topic,document
841,0,"Mahogany track: The track is climbing, and there are farm ruin on the , not connected with those at the boy' farm. Thompson track is narrow and wng, with many tree root"
842,38,"Boy' farm: The former boy' farm is sly off the main trail, with nume ruin and the former orchard now growing untended. The boy' farm closed more than rs ago, yet much is still visible"
843,70,"Highest point: Thi is on thi trip, the knoll to the right around m ASL. The descent on Lyster track is steep and rocky, but only for a distance"
844,19,"elan' farm : The elan family settled here in the s, but only lived here a time. Nume exotic tree still grow here, and the farm dam is clear to see"
845,70,"tramway: The walk join the former tramway at thi point for a long, gentle descent to the west side of the dam wall. Thi track is for walker only"
846,9,Lake view: Thi point on the former tramway is one of the best view point of the lake on the west side. There is still something to see before rejoining the main path
847,70,Tramway display: Thi static display show the type of stone hopper used on the narrow gauge horse-drawn tramway. The hopper wa manufactured in Leed UK
848,2,"Crayfish Bay signpost: Crayfish Bay signpost, all you need do is decide which track to take first. I reckon, take the beach way and cliff top back there is best."
849,2,"The grottos: There a few grotto or small cave at the end of the first beach. Many a time on a rainy, cold winter day they have provided shelter."
850,53,h: The white spot in the cliff edge in the distance (middle of the photo) is the Cape Oyway h.
851,2,"Rockpools: At low tide there are many, many rockpool to keep and old fascinated."
852,2,"Arriving at Cray Bay: Arriving at Cray Bay at low tide, on a still warm April morning. Beautiful."
853,2,"Crayfish Bay: Crafish Bay at it best, on a very low tide, which is great for a snorkle ('t bother diving if it is not low tide)."
854,2,Cray Bay and Otway Reef: Climbing up the track and looking down on Cray Bay and out to the Otway Reef
855,2,The Southern Ocean: A great spot to look out to the Southern Ocean and watch the roller coming in.
856,0,"The Cliff Top Track: The Cliff Top Track is very narrow and sometime a little overgrown, but a de nonetheless."
857,27,The Boardwalk: A ish boardwalk.
858,25,Neighbourhood H: Providing a variety of program for locals. Neighbourhood H ha been running for rs to help locals.
859,7,Women' Peace Garden: The Garden wa conceived in as a part of the Internal r of Peace. Feature plant symbolic of peace and colour of women' movement. It' a very relaxing place.
860,51,'The Back Gate's Mosaic Murals: Under the Epsom Road Bridge. Installed in . Commemorate historic yards. Animal passed the 'Back Gate's to leave the yard to the abattoir or meatworks.
861,6,: is a nice place for walking around and there are many children’ playgrounds. It' a lovely place to live because public transport is very convenient.
862,7,"Community Garden: If you're interested in renting a plot to grow ymy own vegetables, please contact Community Recreation Centre on or @ymca.org.au."
863,39,"Wildlife: Apart from birds, sometime you can see local wildlife on apartment balcony too."
864,14,"River and Wetlands: You can walk or cycle along the river to visit the wetlands, or travel to other place from here."
865,26,Starfish: When the water is low you can see starfish on the river .
866,49,"Road Park: Thi playground is great for child of all ages. The park also ha BBQ, table , seat and a water tap."
867,8,n hs: Built ng the reign of Queen . Many h have been lovingly restored.
868,29,"The Kiln: When petrol rationing wa introduced in , charcoal wa seen as a practical alternative. Thi kiln is a rare example of a relatively intact charcoal burning kiln."
869,21,"Friend of Kurth Kiln: The Friend are actively engaged in maintaining the notice board, the kiln site and the track on thi walk."
870,5,"Brown Stringy-bark trees: Thi versatile tree provided food, mcines, containers, string and tool for Aboriginal people."
871,23,The creek: There are several great view of the creek along the walk. Close ymy eye and listen to the water running down stream. What other sound can you hear?
872,33,"Common Heath: The heath flowers, which mainly occur between late autumn and early spring are white, pink or red in colour. See if you can find a pink one, it is s floral emblem."
873,5,Foam build-up: You can be forgiven for thinking it is a sign of pollution. The foam is produced by the decomposition of a wide variety of plant material including aquatic plant and the leaf of trees.
874,4,End of Creek track: The track return to Road on the opposite side of the bridge to where we started.
875,1,"Picnic Area: After walking along the track, thi is a great spot to relax and listen to the bird singing. You may hear lyrebirds, honeters, parrot and kookaburras."
876,5,"Closer to nature: The path narrow at time immersing you in the sight and smell of ferns, bush and tree along the way."
877,5,"Tree down: A fallen tree ha provided the opportunity for smaller plant to flourish. Be the tree canopy you can find Silver Wattle, Spike Wattle, Christmas Bush, Silver and tree ferns."
878,1,Hakea: Look out for Hakea along the route. The nectar is used by insect and bird when it is in flower. Hakea require fire to reproduce as the hard nut need to be broken for the seed to be released.
879,31,Toilet on route: Thi toilet might provide welcome relief along the way. It is only a s detmy from the walking route.
880,0,The road home: The last section of the walk is a wide gravel road leading back to the kiln.
881,45,The Heritage Peppercorn Tree: South Amn Peppercorn tree were often planted near s in the colonial period. The White and Clement family ran the dairy farm Flora Vale in thi area from the s to the early s.
882,5,The Relocated Scarred Tree: Scar on living tree are from Aboriginal person deliely removing bark or wood.
883,5,"The Possum Tree: rs ago, major limb loss, fire and decay in thi ancient river redgum (Eucalyptu camaldulensis) created a large opening with s and cranny for possum and bird to shelter."
884,17,possum: Look out for some local wildlife using the habitat these tres and understory provide.
885,14,"Lakeview: Wetland are home to aquatic and semi-aquatic genou plant species, water birds, frogs, fish and invertebrates. Wetland were a major source of food, fibre and mcine for Aboriginal people."
886,5,"The Fused-limb Tree: Thi can happen naturally but Aboriginal person also made it happen by deliely manipulating a growing tree. Either way, the tree are thought to have special significance."
887,6,Funky RMIT architecture: Enjoy the view of the funky built form. Kid love thi walk too!
888,5,"Burls: A number of bulbou woody growth occur at the base of the trunk, called lignotuber or 'burls'.The Wurundjerus person sometime removed the burl and crafted them into water container called tarnuks."
889,5,Triple Scar and Redgum Woodlands: Some of these redgum are well over rs old. Help the Friend of the Bundoora Redgum restore the understory to boost biodiversity.
890,5,The 'Canoe's Tree: The scar on thi tree is probably from bark being deliely removed to make roofing material or a small food-collection canoe.
891,24,The Staircase: Thi non genou lemon scented gum still provide nectar for the local possum as seen by the claw mark in it trunk.
892,5,"The Resource Tree: Tree were major food source for the Wurundjerus people. Birds, eggs, honey and possum could all be harvested from trees. Thi one ha an acces hole."
893,5,The Rectangular Cultural Scar: Thi is a highly significant tree. The scar size suggest the bark wa used to build a shelter.
894,14,"Frogpond: species of frog have been recorded in Bundoora, most of which need the wetland to survive. Frog have been around for million rs and are an accurate cator of environmental wellbeing."
895,5,"Woodland View and Re-vegetation site: The Friend of the Bundoora Redgum Inc, a volunteer organisation, ha begun the long proces of restoring the Redgum Woodland to it former glory. Join in!"
896,4,Pedestrian path: Coming out of the train station to the Harbmy Bridge you will soon come to these step - walk up them.
897,4,"Busines in the bridge: The pedestrian path emerge on the other side of the railway line and you can walk alongside the start of the Harbmy Bridge, which ha some interesting business built into it, including thi cafe."
898,4,Brad Park: Brad Park run alongside the Bridge - make sure you check out the sign explaining the interesting history of the Bridge.
899,4,"Step onto the Bridge: Walk through train station under the Bridge, and at thi point you've got the option of walking up onto it to take in the views."
900,4,"shops: Quite a few shop here if you need them, including more built into the Bridge itself."
901,26,"Historic hs: There are some beautiful historic h on these very picturesque streets, including thi real oldie."
902,49,"Milson Park: A nice walk down to thi park, which ha a small playground, toilet and acces to the water."
903,2,"wharf: As an opl detmy follow the sign down to the rather cute wharf, with a small cafe and great views. There' even the option of taking a ferry to the if you feel inclined."
904,7,"H - Prime Minister' residence: Not exactly Versailles, quite modest really. However not an unpleasant place for one to reside. Unsurprisingly, the h is not open to casual visitors, but you get thi view from the street."
905,2,Lady Gowrie Lookout: Another detmy option for acces to the coast (but there' more of that to come).
906,0,Down the steps: Turn left down Mirrag Place (steps/walkway) just past Admiralty H.
907,2,"Coastal path: A ing coastal path offer great view of some of ia' most famou landmarks, including the harbour, CBD and the opus H. And the Bridge of course."
908,28,Luna Park: Did I mention Luna Park? There' a pool here too.
909,2,"path: A beautiful path run alongside the bay here, with view back to the . Look out for the whimsical sculpture hiding in the garden on the land side of the path."
910,0,Wendy' Secret Garden: Look for the little under the railway line and head up the steps. Look for thi little garden with some striking sculpture on the way up. Make sure you look back at the view now and then.
911,9,"Lake : A great place to walk, run or relax. Also a great playground for the kids."
912,9,"Lake : A great place to walk, run or relax. Also a great playground for the kids."
913,13,"Sacred-Heart Cathedral: The third largest cathedral in ia, it certainly is a gorgeou site to visit."
914,57,Myer: The very first Myer wa in .
915,3,Hargraeve Mall: ' main shopping precinct.
916,44,Post Office: The Post Office is a great place to meet to start the walk. There is plenty of parking nearby.
917,26,Watch for traffic when cng the Highway: We have lot of Semi Trailer Grain Truck coming through the district so beware.
918,58,Header and Tractor in the yard of Emmett rs: Emmett are the local machinery and harvester company in town
919,0,"The walking track around the bng: The walking track around the bng is gravel but is in very good order, even in wet times."
920,0,The street are quite free of car mostly all day.: The street are often quiet at and can offer a well formed walking path if you prefer to walk or run on bituman
921,21,A view acros the bng: The Memorial Park is a great place to stay with a caravan
922,33,Walk among the native shrubs: The flowering native shrub are great habitat ng the spring and summer month and native bird can be found here in abundance ng nesting season.
923,18,Seating on the walk: There is seating around the walk so keep an eye out
924,35,The ha been stocked at variou time with trout and other fish.: A place to fish if you want to take a chance
925,4,A bridge over the culvert: a quaint footbridge over the culvert
926,16,Picnic Benches: There is ample covered picnic bench near a free BBQ
927,72,BBQ in the Sound Shell: The Memorial Park sound shell
928,6,Playground: There is a wonderful playground for kiddies.
929,31,Toilet and showers: There are toilet and shower available here
930,4,walking bridge: another walking bridge
931,61,More walk under shrubs: Thi scrub is generally full of wild bird
932,23,A view up the bng: A view up the bng
933,37,Old Water Tower: Thi water tower used to be the source for all the town water
934,53,"Maryugh Railway Station, Station Street : Maryugh’ iconic railway station wa completed in . Take some time to admire the intricate tessellated tiles, elaborate entrance and also the longest station platform in country ."
935,10,"Memorial Cairn , Street : monument commemorating the brothers: first white settler of the Maryugh area back in . Some of the stone are from the original . Climb the step for a sweeping view."
936,24,Box-Ironbark Avenue: Walk the Box-Ironbark avenue between the tenni court and Jubilee Oval and see if there are any blossom attracting nectar-feng native birds.
937,49,"Lake : Walk the willow path round Lake and pas by a playground, covered bbq facilities, Caravan Park and camping area, sporting s, fishing boardwalk and many species of water-loving birdlife."
938,50,"Outdoor Olympic Swimming Pool: A heritage-listed Art Deco building h the public outdoor pool area. With dense lawns, speciman tree and sete pools, it’ one of Maryugh’ favourite place in the Summer months."
939,10,Prince Park historic rotunda & gstand: The historic rotunda wa built in / to commemorate Maryugh’ Golden Jubilee. Look out acros to the ornate gstand and lush gras of the Prince Park sporting oval.
940,10,Memorial Gate to Prince Park: The impressive cast-iron gate and pillar of granite (c.) with the name of fallen WWI soldier are a solemn reminder of los in a community. Lest we forget.
941,53,Prince Park ticket box: Thi quaint ticket box wa built in and is the only known remaining one still in operation today.
942,32,"The Bull and Mouth Hotel: Admire one of High Street’ most ornate buildings, The Bull & Mouth Hotel. Built in with g features, a multi-million project ha recently been undertaken to restore it former glory."
943,3,Site - Engaging the senses: The Market wa part of the estate of the Aboriginal Wurndjeri-willam clan of the wous wurrung language group. The Market wa in use rs before it officially opened in .
944,3,"Site - A place to meat: The Meat or Meat, Fish and Rabbit Section as it is officially known is the oldest building on the Market site and wa originally used as a whole meat market."
945,11,"Site - Deli des: The Dairy is a wonderful intact example of an art deco building. Before modern refrigeration, marbel counter top and special underground ventilation system were used to keep product cool."
946,3,"Site - Produce and pioneers: The real history of the Market start with H & I Shed and A & B Shed - used as an outlet for ' Market gardens, which were run by the Chinese, then later by Greek and In communitites."
947,3,Site - ' Marvellou Meat : In a new front to the Meat Market wa added. The Meat is both of architectural and social significance for it rarity as one of a few purpose built market building in existence in ia
948,57,"Site - Market football: By the s, a strong sporting and social culture had developed among the stallholder and merchant at the Market. Football, cricket, bowl and golf club were formed with match held in - s"
949,3,"Point - Instant and delicious: By the s, food van became a popular fixture. To satisfy the taste of Amn serviceman stationed in ng World War II, cafe menu were expanded to include cola and hamburgers."
950,10,"Site - The Old Cemetary: Much of the Upper Market is situated on cemetery land. Although closed in , some family with vault and reserved allotment were allowed burial up to ."
951,3,Site - More than a facade: The facade are of architectural significance as are the iron gate under the Produce Arch and between the shop and the Meat .
952,3,"Queen Market: The Queen Market, established in is the largest market in ia and one of the largest in the world. Many of the building are still used in trade today."
953,47,"WCTU drinking : The wa erected in by the Woman Christian rance Union, who agitated for the provision of clean drinking water in public place as part of it rance concerns."
954,8,"The Argu - corner and LaT Street: The building hd the Argu newspaper for rs. The Argu wa one of ' three leading newspapers, all established the founding rs of the , until it closure in ."
955,47,"The Welsh Church - LaT Street: The first free dispensary for woman in wa set up here. In the first month the clinic treated , woman and children. Thi led to the establishment of the Queen Hospital."
956,11,"Republic Tower - corner Queen and LaT Street: Public art where you would normally expect a billboard. Designed by architect Nonda Katsilidis, variou internal artwork have featured here. Cros the street for a close-up."
957,22,"Laneway street art: Step into thi laneway to see a fantastic public gallery of street art. A hidden treasure trove of quirky, odd and creative piece guaranteed to raise ymy eyebrow in surprise and wonder."
958,3,"Queen Market: The Queen Market, established in is the largest market in ia and one of the largest in the world. Many of the building are still used in trade today."
959,47,WCTU drinking : The wa erected in by the Woman Christian rance Union who agitated for the provision of clean drinking water in public place as part of it rance concerns.
960,4,"The Beech Rain Walk: Taggarty Cascade is part of a longer network of walk called The Beech Rain Walk. my minute walk is to the timber footbridge and back, to see the tumbling down s."
961,16,A picnic spot: There' a table near the carpark that' perfect for having a picnic if the sun is out. Watch for lyrebird that are known to frequent the area.
962,64,Fabulou fungi: Keep an eye out for the different variety of fungi as you descend into the rain understorey.
963,12,Viewing platform: There' a viewing point half way down the path that gife you a taste of the rambunctiou river that' flowing at ymy side. Ymy ears will already know about this. It' very loud.
964,43,"A lush staircase: As you descend into the rain, take care on the step in case they are wet or slippery. Admire the lush tree fern and Myrtle Beech that thrive in thi cool dark world."
965,4,"Viewing bridge: Thi timber bridge take you acros the Taggarty River, giving you the perfect viewing platform to watch the wave of fresh water gush be ymy feet."
966,4,Stunning : The Taggarty Cascade is an impressive site! Such a steady flow of clear gushing water tumbling over the granite s and down into the rain below.
967,69,Hooded Orchid: Orchid
968,69,Orchid: Orchid
969,69,Orchid: Orchid
970,70,Boar Gully Camp Ground: Boar Gully
971,3,Grevillea: Grevillea
972,12,Range : Range
973,12,Range : Range
974,33,Common Rice-flower: Common Rice-flower
975,12,Range : Range
976,17,Echidna: Echidna
977,5,Gras Tree: Gras Tree
978,-1,Sundews: Sundew
979,3,"Langtree Mall : The recently refurbished Mall ha lot of shade, seating and shops."
980,3,"Langtree Restaurant ""Feast Street"": Large and diverse selection of restaurant including the Brewery and Stefano\\' Pizza Caf. Lot of pedestrian priority here."
981,0,"th St footpaths: Like many of the street around the CBD, th St ha wide footpath and seating available."
982,4,"at Ave and th: As you cros over th Ave at to acces the footbridge to the river, you pas thi lovely ."
983,71,"Riverfront at rowing club: Terrific spot to relax, picnic or walk the dog. Lot of lovely sight along the river. heading right you would hit the marina."
984,59,"s: From the riverbank you can see the s. If you continue along the river, beyond thi route, you would come to the Weir."
985,48,"Rio Park : West Primary School spent five rs rejuvenating thi area of the park. There is lot of native bush and many sign cating type of plants, trees, etc. Take ymy time to wander."
986,20,The Hut Sculpture: Sculpture from Sculpture Triennial
987,22,More public art: Art on both side of the road here.
988,11,"Art Centre and public art: Several piece of public art on the ground of the Art Centre. Visit the Rio H, built in by W.B. , in Queen Anne style, the h feature original furniture and fittings."
989,57,"Bowl Club : Lovely setting for a game! If entering the park from here, be aware thi street do not have footpath all the way, but you can walk along the grass."
990,72,"Jaycee Park : Lot to see and do in thi Park. Playgrounds, picnic areas, open s, enough for everyone!"
991,3,Outdoor cafe: Before heading back to the CBD you can relax at thi outdoor caf with ymy favourite pooch.
992,73,"North shore: There are remain of structures, small 'make-up's acros water channel and other items. The barren hill to the north overlook km of uninhabited country"
993,9,slipways: The cordwood slipway were built out from the lake shore to make salt extraction easier. Several are still in relatively good order considering their age
994,70,interpretive trail: Thi signposted interpretive trail is the most accessible part of the former tramway. Relic include a former skip frame from the Sailor Salt Co.
995,9,"Lake Becking: The lake' east shore is a vast lunette dune. From thi point, the tramway formation veer away from the lake shore and out into the wildernes"
996,0,"Remote area: Thi section is several km from the nearest track and feel very remote. Decaying sleeper and dogspike are everywhere. If unsure of navigation or cions, do not attempt thi section"
997,70,"Grub Track: Return is possible vium Grub track and Ring road, but return vium the tramway is more direct. The tramway formation continue south, but is soon out of the park and on private property"
998,6,Playground for the kids: A great activity for the kid in the flora and fauna park
999,31,Public Toilet in the Lion Park: There are clean public toilet in the park
1000,15,Covered BBQ and picnic areas: There are a few covered BBQ and picnic area in the Lion Park
1001,1,"Load of bird avairy here: There are load of animal in pens, including goat and guinea pig and many bird such as parrot and even peacock and peahens."
1002,1,Feed the guinea piga: There are load of guinea pig in a pen and they are so friendly for kid and adult alike
1003,0,The real start of the walk: Thi is where the real track start for the walk
1004,18,"Load of seat along the walk: If you have a need for seating along the way, you will find plenty of place to spend some time at a picnic or rest beside the creek.."
1005,1,Wonderful View along the way: There are load of scenic view and wonderful bird life in the trees.
1006,27,The Boardwalk: There is a very well made boardwalk that keep the walk beside the creek and away from the road and cars.
1007,23,A : There are many great photo opportunity at the creek
1008,27,A pretty place for a walk: I find the whole creek area very appealing for walk
1009,4,The bridge at Woolcock Street: The Woolcock Street walking bridge
1010,18,Plenty of seating: Plenty of seating around the walk
1011,0,Along the walk: Under the tree along the walk
1012,23,More view along the creek: More view along the creek
1013,4,A bridge acros the creek: The main walk bridge acros the end of the creek
1014,15,Picnic area and BBQ under cover: Bicentennial Park ha a picnic area and covered BBQ area
1015,6,"Children' playground and train : child are able to enjoy the stary train at Marie Park.It' an ex-n Railway D --, built in the early s. A children' playground is located next to the train"
1016,15,BBQ facilities: Enjoy a BBQ at the public BBQ facility at Marie Park
1017,67,Marie Oval : Marie Oval is used by Cricket Club Inc and Foorball club. Public toilet are located next to the oval.
1018,66,Creek Shared Trail : Follow the path from Marie Park to Road.
1019,6,Playground : Enjoy time with family at one of over playground in the of .
1020,61,J.W. Manson Reserve : To find out more about the Creek friend group please see the below link.
1021,66,Creek bridge : Cros the bridge to head back along the dirt path to Marie Park. Alternatively keep following the trail past Road for a longer walk .
1022,66,Creek Shared Trail : Follow the trail along to Road.
1023,66,Creek trail : To return back walker are able to cros the bridge and head to Marie Reserve.
1024,6,Marie playground. : The playground feature an old locomotive as well as a wodden train at Marie Park.
1025,6,Marie playground : The entrance to the playground is located next to the two trains.
1026,6,Marie playground : A large playground is available for child at Marie Park in .
1027,11,Community Art Centre : Community Art centre is located acros the road from Marie Park. train station is located a walk from the Art Centre on Railway de.
1028,0,"Enter the Gardens: The path in is wide with an even surface for walking, so it' hard not to enjoy the walk after only a few steps."
1029,0,The steps: Take an opl small detmy and walk up and down the step to King St. It will get the blood pumping!
1030,10,The Flag Staff: A flag staff wa erected here in to signal ship and the n Government wa proclaimed on the site in .
1031,57,The Bowl Club: The historic of Bowl Club wa founded . It ha a function room for person and is a great venue for physically active social functions.
1032,6,"The playground: A great playground to bring child to on the weekend, the Market is nearby for some healthy food option too."
1033,46,"Tennis, netball and volleyball courts: The Garden tenni court have two hard court with s. Netball and volleyball can also be played on these courts. How about organising some lunchtime match with colleagues?"
1034,40,The Court Favorite: The statue wa presented to the by R. Baron Mark JP in .
1035,5,Magnificent Bay Fig: There are several very large Bay Fig in the Garden that are a sight to behold. You can do some step up on the surrounding wall.
1036,16,The lawns: In the warmer weather the lawn are wonderful for picnic and getting a bit of green time.
1037,66,Start of Spring Creek Walk: The walk begin here at thi lovely open area next to Spring Creek.
1038,66,Spring Creek Track: The compacted gravel track begin with a mild incline.
1039,66,Track Intersection: Walk head up to and Kaa Track end here at Spring Creek Track.
1040,5,Vegetation: In a mixture of exotic and native tree were planted in the Reserve and are now thriving.
1041,63,Fall viewing platform: A scenic place to rest and admire (when there is water). Be sure to look out for water dragons!
1042,0,Kaa Track: Thi track ha some uneven and rocky section and steps.
1043,1,Lyrebird: A rare sighting of a shy native Lyrebird. Thi female do not have the same unique tailfeather as the male.
1044,1,Swamp Wallaby: The Reserve is a wildlife refuge so animal life is abundant. Thi wallaby wa on the path!
1045,25,"Community Centre: The centre run a variety of program and is dcated to the provision of high quality, financially accessible service and educal program in a welcoming and respectful environment."
1046,13,"Uniting Church: Uniting Church is located on Bridgewater Way & Fulham Rd,"
1047,9,"Lake: Welcome to Lakes. There are over minor parks, reserve and playing s spread throughout the of that cater for all form of leisure and recreal activities."
1048,9,Lake walking track: Follow the path running between Sutton Lake and Hill Lake
1049,9,Sutton Lake: Enjoy the view of Sutton Lake
1050,6,Playground: Enjoy some time out with family at the playground overlooking Sutton Lake. ha over play space in park and reserves.
1051,9,Sutton Lake: Enjoy the view and follow the path around to Superior Ave.
1052,9,Map of from : The Historical Society ha included a photograph of the area from back in . As you can see the lake are featured.
1053,25,Tarra Bulga Visitor Information Centre: A great starting point for exploring thi
1054,16,"Bulga Picnic Area: Tables, toilet and picnic shelter provided."
1055,4,"Corrigan Suspension Bridge: Corrigan Suspension Bridge stretch through the rain canopy, affording spectacular view of the lush on the floor below."
1056,1,Lyrebirds: The fern gully are the home of the Superb Lyrebird.
1057,53,Railway Station: Start at Railway Station fronting Highway. The station wa built in after the railway line wa extended from Hawt to . The line wa electrified in .
1058,44,The C Tower' original site: Proceed easterly to the intersection of Road and Highway to the original site of the Memorial Ctower. Erected in .
1059,37,"Blood Bro Stores: Deviate under the railway viaduct to view the Blood Brother store, built in and continuously operating for over rs."
1060,11,"Estate and Art Gallery: Walk along Greenwood Avenue to number , the site of the former Primary School. It is now a Council owned & managed community, cultural and art facility. Return the same way back to Highway"
1061,9,"Lake: Continue easterly along Highway, pause at Lake, created in by the damming of Sandy Creek which used to follow the line of the gully and flow into Mullum Mullum Creek."
1062,53,Fire Station: Cros the highway and head west. The former Fire Station wa built in at a cost of seven thousand pound and provided an important service for over rs. It is currently a restaurant
1063,40,Bamford' Timber Yards: Bamford' Timber Yard were a landmark at the northwestern corner of Road and were close to the majestic B Building () on the northeastern corner of Street.
1064,3,"B Building & Coffee Palace: B Building and the Coffee Palace were amongst the earliest commercial premise in , on the northwestern corner of Street (now covered by Eastland Shopping Centre)."
1065,44,"The Mail Office: Head north into the Eastland precinct, which in earlier rs wa home to The Pine Private Hospital, Football Ground, and the office of the Mail."
1066,40,"Town : Return to the highway, at the northwestern corner of Street, to the site of the Town of the ugh of , built in and demolished in ."
1067,59,The State Saving Bank: A sign of prosperity in wa the construction of the State Saving Bank in at a cost of three thousand pounds. The building still exist behind an unsympathetic facade.
1068,8,"Timber & Trading Company Limited: On the north eastern corner of New Street, the Timber & Trading Company constructed a fine building to with demand for building material at a time of rapid development. Demolished ."
1069,3,"Co-operative Cool Stores: Cng back to the south side of Highway, wander back to the C Tower, located on the site of Coolstore (-), evidence of the importance of ' orchard enterprise"
1070,66,Oscar Walk: Oscar Walk beside the Bank start the southern section of the Creek Trail.
1071,66,Oscar Walk: Creek Trail beside Oscar Walk
1072,73,Central Dah Gold Mine: Central Dah Gold Mine
1073,65,Vintage Talking Tram: Vintage Talking Tram
1074,70,Fire Station : The Fire Station show the way.
1075,4,Bridge to north side of Creek: Bridge to north side of Creek
1076,21,Central Caravan Park: Central Caravan Park
1077,66,Creek with paths: Creek with path
1078,6,Cooinda Park: Cooinda Park with children' playground
1079,28,Rotary Gateway Park: Rotary Gateway Park with lake and plentiful birdlife
1080,18,Rotary Gateway Park: Rotary Gateway Park with seating
1081,28,Rotary Gateway Park: Rotary Gateway Park with BMX track
1082,1,Oval with resident ducks: Oval with resident duck
1083,24,Yellow flowering gumtree: Yellow flowering gumtree
1084,24,Red flowering gumtree: Red flowering gumtree
1085,64,Daffodil make an early appearance: Daffodil make an early appearance
1086,21,Crusoe Gate entrance: Crusoe Gate entrance
1087,68,Gravel path to Crusoe : Gravel path to Crusoe
1088,4,Crusoe : Crusoe
1089,4,Crusoe spillover: Crusoe spillover
1090,0,"Signage to show ymy walking choices: At the Ollerton Ave entrance, you are given an overview of the walking track option available to you so you can choose each time you visit a different approach."
1091,6,A place to play: There’ plenty of room for the kid to run around in the Bushland Reserve as well as a couple of playground at the perimeter of the Reserve.
1092,36,"Walking the dog: Thi is a popular place for taking ymy pooch on an enjoyable walk through native bushland, although remember to keep ymy furry friend on the leash."
1093,43,Native bushland in the middle of : A visit to thi Reserve showcase the genou landscape that used to cover thi area.
1094,43,"Follow the track: Whether you follow the concrete track or cut into the Reserve on one of the many natural paths, you’ll discover a healthy mix of native bushland."
1095,69,The Fringing Lily: Just one of the many native orchid you’re likely to see if you keep an eye out.
1096,69,"Cinnamon Bells: Thi is a wonderful Reserve for fan of orchid and keen photographers, with magnificent specimen such as these."
1097,69,The ed Orchid: Yet another example of why thi bushland reserve is so famou for it orchids.
1098,1,"Listen for lyrebirds: The trail begin in the shade, walking through towering manna gums. Listen for lyrebird and their complex bird call ringing continuously through the ."
1099,64,Fantastic fungi: Watch ymy step because there are several type of fungi growing along thi trail. Learn more about mushroom in ia by the link below.
1100,23,"Leary Creek: Thi trail cross Leary Creek in two spots. Badly affected by the Black Saturday bushfires, the creek contain one of the few remaining population of a nally endangered fish, Barred Galaxias."
1101,18,Rest spot: There are a couple of bench along the trail and several interpretative sign if you'd like to know more about the flora and fauna native to thi area. Look for sign of s digging as you rest.
1102,24,"Felled gums: Even when felled, the beauty of these gum remain. Some of the felling will be accidental and caused by the weather, other will be delie clearing efforts."
1103,5,"Tiny moments: If you look carefully, you'll see tiny moment of interaction between the natural world, like a drop of sap that' fallen over metre to land on thi fern."
1104,5,"Bushland renewal: After the Black Saturday bushfires, sign of renewal and regrowth came from the resilient tree ferns, their bright green frond striking against a backdrop of burnt out Manna gums."
1105,64,"Fungi fiefdom: As trail start to descend into the tree fern s, the fungi find themself in a darkened dise. At ymy feet, you might also notice bird foraging about, looking to feast on small insects."
1106,27,"Boardwalks: Thi trail include a fantastic boardwalk pathway through s. In , a bushfire rushed through The Beauty Spot and destroyed these very same s, along with a popular tourist spot."
1107,36,"Hideaway: Thi is a cooler spot to rest, hidden in the lush fern and overhanging foilage. The trail is in a sir state of transition today, after being reconstructed following the Black Saturday bushfires."
1108,23,"Pobblebonk frog: As you walk through the wetlands, listen for the call of the Pobblebonk or banjo frog, named because of the 'bonk's sound it makes, like a banjo string being plucked."
1109,27,"Follow the : The boardwalk resume again, thi time leading walker in the direction of the . Look up to spot bright-coloured parrot or wattle birds, raucously gu their preciou nectar supplies."
1110,19,Valley beyond: As you walk to the carpark look out to the other side of and the valley for a reminder of how much wa lost in the bushfire and all that is now slowly regenerating each day.
1111,17,Vervet Monkeys: Observing the complex interaction between these highly social animal is one of the high of a visit to Open Range Zoo.
1112,17,Lions: The zoo provide a rare opportunity to see these majestic animal up close.
1113,17,Hippos: The zoo provide a rare opportunity to get up close to these intriguing animals. You can sit and watch the hippo along the Pula Walking trail as well as seeing them while out on Safarus
1114,17,Serval: These slender and extremely agile cat are one of Africa' most ful s
1115,17,"Safarus Station Tours: Imagine being surrounded by magnificent wildlife, including rhinos, giraffes, zebra and antelopes, or taking the perfect safarus photo just minute from ' centre."
1116,17,"Przewalski' horse: Przewalski' horse. The baby wa born in . It' name is Hatan. The breed is the last truly wild horse, is skittish, rn, naturally shy and sometime very aggressive."
1117,1,"Ibis: Ibi are a group of long-legged wading bird that inhabit wetlands, s and plains. They all have long, down-curved bills, and usually feed as a group, probing mud for food."
1118,1,"Rhino: Rhinocero are a threatened species that have only one predator, humans, who prize them for their hooves, blood, urine and above all for their s for use in tradil mcines."
1119,1,Ostrich: The ostrich is the fastest fles bird and can reach sprinting s of up to kilometre per hour. The ostrich also use it wing for display of courtship and dominance.
1120,43,Impala: Impala are mum sized African antelope that inhabit savanna grassland and woodland in close proximity to water sources.
1121,49,"Lion Park: A small park beside the River with a playground, barbeque, picnic table and toilet facility"
1122,41,Exercise Equipment: Along the the walking path are a number of exercise equipment
1123,30,Walking Path: The walking path follow the River
1124,4,Footbridge: A footbridge cross the Campapse River
1125,41,Exercise Equipment: A number of exercise equipment are located along the walking path
1126,30,Walking Path: The walking path s along the river
1127,55,River: River
1128,0,Walking Path: The walking path follow the former road reserve of
1129,4,Walking Bridge: Walking Bridge provide link to CBD
