,Topic,Count,Name,Representation,Representative_Docs
49,48,17,48_railway_station_magic_train,"['railway', 'station', 'magic', 'train', 'travelled', '1278', 'radio', 'renamed', 'runnymede', 'signal']","['Magic 1278 transmission towers: These radio broadcast towers were constructed in the 1970s for AM radio Magic 693. Today operated by Magic 1278, transmissions from here are so powerful they can be picked up (just) in Antarctica!', ' Railway Station: Opened 1870, originally named Runnymede Railway Station, the station was renamed  Railway Station in 1876. The Queen travelled by train through  on her 1954 tour.', ' Railway Station: Opened 1870, originally named Runnymede Railway Station, the station was renamed  Railway Station in 1876. The Queen travelled by train through  on her 1954 tour.']"
50,49,17,49_gallery_arts_galleries_spire,"['gallery', 'arts', 'galleries', 'spire', 'aka', 'lap', 'phar', 'museum', 'ceiling', 'skel']","[' Arts Centre and Cafe: In 1966, an art gallery and theatre were added to Rio  h and the whole complex became known as the  Arts Centre and was officially opened by Sir Henry Bolte in November 1966. ', ' Museum: The museum has eight galleries, including one just for children. Highs include a complete skel of a b w, the aka Aboriginal Cultural Centre, a living rain and Phar Lap.\n', '12.  Museum: The museum has eight galleries, including one just for children. Highs include a complete skel of a b w, the aka Aboriginal Cultural Centre, a living rain and Phar Lap.']"
51,50,16,50_aboriginal_gertrude_established_koori,"['aboriginal', 'gertrude', 'established', 'koori', 'health', 'service', 'political', 'homeless', 'kollij', 'combat']","['The Koori Club, 43 Gertrude St: Established by Aboriginal artist, Lin Onus, this was a social and political meeting place ng the 1960s for  people infnced by the Black Power Movement.', 'Fitzroy Stars Aboriginal Community Youth Club Gymnasium: The Youth Club gym (184-186 Gertrude St) was established in 1977 as a preventative health program to combat the increasing drug and alcohol problems within the metropolitan Aboriginal community. ', 'Koori Information Centre, 120 Gertrude St: Established in the early 1980s, this was an effective coordination centre for Aboriginal political activity that eventually attracted unnted covert surveillance by federal police.']"
52,51,16,51_coal_miner_mine_miners,"['coal', 'miner', 'mine', 'miners', 'noisy', 'mining', 'charcoal', 'mines', '1909', 'kiln']","['Nos. 9 and 10 shafts: Together these mines covered an area of almost 200 hectares. That\x9ds 160 underground cricket grounds! The coal has gone but this concrete shaft remains.', 'Shaded rest area: A quiet spot to sit under the trees and imagine the noisy steam locomotives chugging right past you, laden with coal from the State Coal Mine.  ', ""Tent Town : The site where 12 miners first lived when the State Coal Mine opened in 1909. By mid 1910 the township of  was established with the construction of 100 miners' cottages. ""]"
53,52,16,52_conservatory_ford_recital_sites,"['conservatory', 'ford', 'recital', 'sites', 'sub', 'ngv', 'potter', 'headlines', 'leachs', 'bitten']","[""Ford Comes To Town: In 1925, Ford announced that  would be the ia's  headquarters for Ford. The 'Whole town is s' was the newpaper headlines with the  of increasing employment for the area."", 'Ringwood Fire Station: Cross the highway and head west. The former Ringwood Fire Station was built in 1930 at a cost of seven thousand pounds and provided an important service for over 65 rs. It is currently a restaurant', ""Conservatory Gardens: Established in 1901 and home to ia's oldest glass hoth, and the sculpture of a man fighting a leopard being bitten by a dog! Water tap is at the rear of the gardens tos Rosalind Park.""]"
54,53,15,53_permian_million_ago_basalt,"['permian', 'million', 'ago', 'basalt', 'ntal', 'icesheet', 'conglomerates', 'canyon', 'ochre', '270']","['The Organ Pipes: More than a million rs ago, lava from nearby volcanoes flowed into the area, cooled, ed, then cracked, forming the columns that we see today. ', 'Permian Pavement: This sheet of rock is covered with p scratches. ""So what?"", you say. Well, they were only made by a ntal ice-sheet that covered ia and Antarctica 270 million rs ago.', 'ett Cove Beach: Looking from the cafe, along the beach. Those s  were dropped there by the melting of a ntal ice-sheet at the end of the Permian era some 270 million rs ago!\n']"
55,54,15,54_lookout_mt_rock_strezlecki,"['lookout', 'mt', 'rock', 'strezlecki', 'cliffs', 'ranges', 'height', 'massive', 'rails', 'pardalot']","[""Lookout: There are plenty of natural lookouts on this walk (huge rocks to sit or stand on), but there's also this more convenl one.  Great views of course, especially of  off to the south."", 'Lookout rock: Just off the track to the right is a massive rock, providing a great natural lookout through the ranges to the north', 'Safety rails can be handy: The Lookout track is secured by safety rails, which provide a welcome degree of reassurance as you head tos the lookout.']"
56,55,15,55_canopy_spinebill_transition_heathlands,"['canopy', 'spinebill', 'transition', 'heathlands', 'sprayed', 'schlerophyll', 'rebushing', 'rejuvenating', 'parklandwide', 'spent']","['Heathlands: The last section of the walk winds along the edge of beautiful native heathland that supports a wide variety of fauna. A large section of heathland is fenced off for conservation.', 'Rio  Park :  West Primary School spent five rs rejuvenating this area of the park. There is lots of native bush and many signs cating types of plants, trees, etc. Take your time to wander. ', 'Hideaway: This is a cooler spot to rest, hidden in the lush ferns and overhanging foilage. The trail is in a sir state of transition today, after being reconstructed following the Black Saturday bushfires.']"
57,56,14,56_jac_treescape_log_mighty,"['jac', 'treescape', 'log', 'mighty', 'logs', 'tells', 'fallen', 'annual', 'climbing', 'record']","['stand of pine trees: a lovely area for the kids to play among the pine trees, including a great big climbing tree. Just be wary for hazards here such as barbed wire.', ""Jac: Stop in at the mighty Jac tree on the left. What stage of its annual life cycle is it up to? 't forget to record what you see on the CteWatch app or recording sheet."", ""Jac: Stop in at the mighty Jac tree on the right. What stage of its annual life cycle is it up to? 't forget to record what you see on the CteWatch app.""]"
58,57,14,57_oval_football_rules_manicured,"['oval', 'football', 'rules', 'manicured', 'hurt', 'scoreboard', 'afl', 'permanent', 'mcg', 'competition']","['VFL Park: This arena was to be the home of ian Rules football, staging the G Final and provided with its own rail line. Today, a moldering section of gstand is all that remains', 'Football oval: If you are walking along this path, why not stop for a kick of football on the way. The oval is well manicured and is home to permanent AFL posts. A little friendly competition never hurt anyone...', 'Football Oval: If you are walking along this path, why not stop for a kick of football on the way. The oval is well manicured and is home to permanent AFL posts. A little friendly competition never hurt anyone...']"
59,58,14,58_jetty_ws_punt_bench,"['jetty', 'ws', 'punt', 'bench', 'yourlegs', 'humpback', 'near', 'close', 'wirringgal', 'yalam']","['Jetty and Picnic Bench: Right near the Bidjin sign is a jetty and picnic bench where you can enjoy a peaceful rest.', 'Jetty and Picnic Bench: Located just near the Wirringgal sign is another opportunity to enjoy a rest or walk along the jetty', 'Jetty and Picnic spot: Located near the Yalam sign is another opportunity to enjoy a walk out close to the water and chance to rest yourlegs and enjoy a snack.']"
60,59,14,59_hill_ascent_summit_stabilisation,"['hill', 'ascent', 'summit', 'stabilisation', 'klings', '360', 'apollo', 'uphill', 'rolling', '700']","['Hill stabilisation works : Build on an old tip, this hill is prone to slipping.  New stabilisation works and planting will keep  in place. ', ' hill for rolling: There should be more  hills like this one in the centre of cities. Watch the number of kids who are immately drawn to it and roll down laughing.', ' hills summit: The trig point marks the highest point of this range, with fine views through 360 deg, including  to the south, and the  of the north-west. The view is worth the 700 m walk']"
61,60,14,60_wild_notforprofit_engagement_website,"['wild', 'notforprofit', 'engagement', 'website', 'nature', 'connecting', 'specialising', 'dcated', 'completed', 'please']","['Wild : This walk was completed by Wild , a not-for-profit specialising in nature engagement and dcated to connecting people with nature. Please visit our website to find out more.', 'Wild : This walk was completed by Wild , a not-for-profit specialising in nature engagement and dcated to connecting people with nature. Please visit our website to find out more.', 'Wild : This walk was completed by Wild , a not-for-profit specialising in nature engagement and dcated to connecting people with nature. Please visit our website to find out more.']"
62,61,13,61_bakery_vietnamese_bun_rolls,"['bakery', 'vietnamese', 'bun', 'rolls', 'grocery', 'pho', 'salad', 'savoury', 'crust', 'sweet']","['Chilli bakery: I usually have an egg and salad roll from here, though there are many variations to choose from.  There is a  wait as this is probably the most popular place for Vietnamese rolls in the area.', 'Ha Noi Pho: Tucked in a laneway is my favourite Vietnamese restaurant.  The owner Dao is lovely and hospitable.  The pho is terrific. My favourite dish is lemongrass beef wrapped in vine leaves.  ', ' Crust Polish Bakery:  Crust Bakery is  family owned and operated. The Bakery makes great cakes, biscuits, pies, sweets, soups, salads, bagels, cabbage rolls, pierogi and much more']"
63,62,13,62_rockpools_pools_blowhole_rock,"['rockpools', 'pools', 'blowhole', 'rock', 'sandys', 'rocks', 'crystal', 'fall', 'shower', 'worms']","['Rock pools: See what sort of shells and stones you can collect. Can you find a bright red sea star? You can see all sorts of sea vegetation, small fish and crabs. Look at the bird life, gulls and cormorants.', 'Wonderful rock pools: The rocks are covered with green and red algae which shelters a range of invertebrates including brittle stars, bristle worms and crustaceans.', 'The Blowhole: The Blowhole is a remnant of the gold rush, created to expose gold in the water, and after heavy rainfall it appears to shoot water. Unfortunately, it is currently closed due to a recent rock fall.']"
64,63,13,63_orchid_orchids_waxlip_43,"['orchid', 'orchids', 'waxlip', '43', 'hyacinth', 'roseum', 'specimens', 'sp', 'fringing', 'nodding']","['Nodding Greenhood Orchid: These beautiful orchids are found in the eastern states of ia, and flower in winter and spring.', 'Waxlip Orchid: The Reserve is home to 30 different types of orchids, including this beautiful Waxlip Orchid ( Major). It flowers in late winter to early spring, and is found in heath land and open s.', 'Native orchids make for a special treat: Throughout the r, over 43 orchid species including sun orchids (Thelymitra sp.) produce the most exquisite flowers at specific times of r.']"
65,64,13,64_smoking_aboriginal_interpretive_ceremony,"['smoking', 'aboriginal', 'interpretive', 'ceremony', 'gippslands', 'yorta', 'gippsland', 'stories', 'welcomes', 'walker']","['Smoking Ceremony: Experience a tradil genous Smoking Ceremony in the midst of the ancestral lands of  nation (allocated times).', 'genous history: A number of interpretive signs explain the local genous history, creation stories and artwork of the Gunaikurnai, one of the Aboriginal nations of ia. ', 'A rich fabric of history: Settlement stories are told through both photos and text, starting with the ive squatters who came south over the Victorian Alps to settle in the central Gippsland Plains and beyond.']"
66,65,13,65_market_meat_queen_1878,"['market', 'meat', 'queen', '1878', 'largest', 'class', 'victoria', 'trades', 'qv', 'trade']","['Queen Victoria Market: The Queen Victoria Market, established in 1878 is the largest market in ia and one of the largest in the world. Many of the buildings are still used in trade today. ', 'Queen Victoria Market: The Queen Victoria Market, established in 1878 is the largest market in ia and one of the largest in the world. Many of the buildings are still used in trade today.', 'Queen Victoria Market: The Queen Victoria Market, established in 1878 is the largest market in ia and one of the largest in the world. Many of the buildings are still used in trade today.']"
67,66,12,66_library_kensington_neighbourhood_knh,"['library', 'kensington', 'neighbourhood', 'knh', 'brook', 'borrow', 'education', 'programs', 'literacy', 'u3a']","['State Library Victoria: The State Library is a popular spot for lounging on the lawns at lunchtime. The free wifi is an added attraction. It also holds many talks, discussions and exhibitions, which are usually free.', 'brook Library: This library is buzzing with families reading and learning together. The friendly staff are happy to help with information. There are books available to borrow in Vietnamese, Chinese and English.', ""Kensington Neighbourhood H (KNH): KNH runs various activities including vocal education, English language lessons, digital literacy, arts and crafts, social groups, weekend workshops and children's activities etc etc""]"
68,67,11,67_weir_turbine_generation_diving,"['weir', 'turbine', 'generation', 'diving', 'pictureview', 'contraption', 'aug', 'waterslide', 'weirs', 'collects']","[' 11: Completed in 1928. Paddle steamers still pass through the  daily. The  system is the only site on the River  where a  and weir are seted by an nd. Image: Construction 1927', 'The Weir: This Weir has been here for a fair while, and nearby is a strange bstone box contraption that was probably a sheep dip. Cng over takes you to a silcrete quarry. Beautiful red gums abound.', 'Turbine generation: Walk along the lower path to access the turbine generation. At the base of  is a small weir that collects water, sending it down a 300mm-diameter pipe to power this hydroelectric turbine.']"
69,68,11,68_jk_crofton_reservecherry_booth,"['jk', 'crofton', 'reservecherry', 'booth', 'turnstile', 'hut', 'reserve', 'exit', 'cubbyh', 'subdivisions']","["" Reserve: If you're in need of more space,  Reserve (on Beach Rd) offers ovals and playing s, a playground, toilets and a take away store, tucked away at the rear of the reserve on O'Connor Street."", 'rt Booth Reserve: Start at rt Booth Reserve. Bus stop on Clow Street. The reserve offers an off-leash dog park, playgrounds, sporting s and an athletics track.', ""Hut - Karen  2000: Hut symbolises the h, the home, the shack, the cubby-h and he hermit's retreat. It also alludes to the potential to dream that is inherent within all of these structures.""]"
70,69,10,69_felltimber_wetland_ducks_swamphens,"['felltimber', 'wetland', 'ducks', 'swamphens', 'ibis', 'tons', 'shoots', 'midwalk', 'waders', 'tot']","['Birdlife: Keep an eye out for Purple Swamphens.  They are primarily waders and feed mostly on  shoots of reeds and other aquatic plants.\r\n', 'Felltimber lagoon: Located next tot he Felltimber Community Centre, this is a peaceful spot to sit by the water. There are many ducks that will approach you - especially if you have something for them to eat.', 'Wetland view: One of several small lakes along the walk.  Each one supports a wide variety of birdlife including Black s, ducks, Purple Swamphens, Egrets, Grebes and Eurasian Coots.  ']"
